complaint_text,category
"Ang tubig namin ay may amoy, parang rotten eggs.",Water Quality
Ang aming water connection ay nasira ng construction.,Operations
A fire hydrant on our street is running uncontrolled.,Operations
Bakit tumaas ang aking bill kahit pareho ang aming gamit?,Billing
We urgently need water supply para sa aming hospital.,Operations
Hindi malinis ang water na aming ginagamit sa cooking.,Water Quality
Bakit may environmental fee sa aking singil?,Billing
Ang billing ko ay mas mataas kaysa dati.,Billing
May malaking water leakage sa aming lugar na hindi pa naaayos.,Operations
Mayroon bang water quality advisory para sa aming lugar?,Water Quality
Hindi ako maaaring makita ang aking meter reading dahil malayo ito.,Metering
Ang aking bill ay may kamalian sa petsa ng pagbabayad.,Billing
Gusto ko ng meter recalibration test.,Metering
Hindi namin natanggap ang advisory tungkol sa water interruption.,Operations
Our area lost water supply due to a recent typhoon.,Operations
Bakit hindi naibabalik ang water service after interruption?,Operations
The drinking water in our area is not safe.,Water Quality
Ang tubig namin is low pressure sa sixth floor.,Operations
May hydrant sa aming lugar na patuloy na tumatakbo.,Operations
Ang aking billing cycle ay binago without notice.,Billing
May naputok na pipe sa ilalim ng kalsada sa aming lugar.,Operations
Bakit biglang tumaas ang aming water meter reading?,Metering
Nakaranas kami ng pagtatae dahil sa aming tubig.,Water Quality
Bakit hindi naibabalik ang water service pagkatapos ng interruption?,Operations
Bakit walang water supply ngayon sa aming komunidad?,Operations
Water service has not been restored after scheduled maintenance.,Operations
Ang water pressure sa aming bahay is very low.,Operations
Hindi ko matanggap ang aking e-bill sa email.,Billing
Walang tubig sa aming lugar for almost a week na.,Operations
"My bill is double compared doon sa last month, bakit?",Billing
I want a meter check because my bill is suspiciously high.,Metering
"Walang meter sa aming lugar, paano kayo nagbibigay ng bill?",Metering
May naputok na water main line sa aming lugar.,Operations
Ang tubig namin ay hindi angkop para sa aming mga halaman.,Water Quality
May mali sa aking account number sa bill ko.,Billing
"Ang tubig namin ay may greenish color, may algae ba?",Water Quality
Hindi namin natanggap ang advisory about sa water interruption.,Operations
Ang tubig namin is turning brown after heavy rain.,Water Quality
Bakit malabo ang tubig namin ngayon?,Water Quality
I paid already pero hindi pa rin na-post sa aking account.,Billing
Hindi ko alam kung saan magbabayad ng aking singil.,Billing
May foam na lumalabas sa aming water faucet.,Water Quality
Bakit walang advance notice ang water interruption?,Operations
Kailangan ko ng assistance para basahin ang aking water meter.,Metering
May sunog sa aming lugar pero walang sapat na water pressure.,Operations
Our area frequently experiences water supply interruptions.,Operations
Walang tubig sa aming water district for many hours na.,Operations
Naghihinala kami na may kontaminasyon sa aming water supply.,Water Quality
Gusto ko ng kopya ng aking nakaraang mga bill.,Billing
I need assistance locating our water meter.,Metering
Ang tubig namin ay may matinding chemical smell.,Water Quality
Hindi ko mawala ang mabahong amoy ng tubig namin.,Water Quality
May nakikita akong oil sheen sa aming tap water.,Water Quality
Ang aming meter ay naka-install sa maling lugar.,Metering
Bakit ang mataas ng aking meter reading ngayong buwan?,Metering
Ang tubig sa aming lugar ay hindi ligtas uminom.,Water Quality
Ang water sa aming lugar ay may unusual texture.,Water Quality
Kailangan namin ng immediate na tubig para sa aming ospital.,Operations
Bakit may finance charge sa aking account?,Billing
Bakit hindi pa na-post ang aking payment?,Billing
Ang aming meter ay bumaba ng bigla ang reading.,Metering
Ang meter ng aming kapitbahay ay nagsasalubong sa amin.,Metering
Nakatanggap kami ng complaints mula sa mga neighbors about sa tubig.,Water Quality
Ang aming meter ay naka-install sa wrong location.,Metering
There's a strange taste sa tubig na aming inumin.,Water Quality
"Ang bill ko is way too high this month, bakit ganon?",Billing
Ang aming meter ay nasakop ng flood water.,Metering
May nakita akong basag na tubo sa kalsada.,Operations
Our water supply appears to be contaminated.,Water Quality
Our tap water has a bitter and metallic taste.,Water Quality
There is foam coming out of our water faucet.,Water Quality
The water pressure and quality have both decreased.,Water Quality
Mahirap hanapin ang aming water meter.,Metering
We are complaining about the water quality sa aming komunidad.,Water Quality
Nagbayad na ako pero hindi pa rin na-update ang aking account.,Billing
Our drinking water has an oily film on top.,Water Quality
Ang aming lugar ay walang tubig matapos ang earthquake.,Operations
Gusto ko ng pangalawang opinion sa reading ng aking meter.,Metering
Bakit may reconnection fee sa bill ko eh hindi naman ako na-disconnect?,Billing
Ang tubig naming panluto ay may hindi magandang lasa.,Water Quality
"Ang tubig namin is irregular, sometimes meron sometimes wala.",Operations
Ang aking water bill ay may kamalian sa meter reading.,Billing
I need a meter inspection for a newly constructed property.,Metering
Why is there a reconnection fee on my account?,Billing
Hindi nagtatrabaho ang aming digital water meter.,Metering
Ang aking water meter is broken at hindi nagre-record ng consumption.,Metering
Bakit bigla na lang na-cut ang aming water?,Operations
Hindi ko ma-understand ang breakdown ng aking water charges.,Billing
Bakit different ang reading ng aming meter every time ito binabasa?,Metering
Ang tubig namin ay may makitang rust o kalawang.,Water Quality
Please provide a detailed breakdown of my water charges.,Billing
Walang tubig sa aming lugar mula pa kahapon.,Operations
Ang tubig namin ay may kakaibang color after ng ulan.,Water Quality
"Ang tubig namin ay mabaho, parang may naputok na pipelines.",Water Quality
The water coming from our faucet is brown and muddy.,Water Quality
Hindi pa naiayos ang water supply pagkatapos ng bagyo.,Operations
May fire sa aming lugar pero walang sapat na water pressure.,Operations
Our water meter was flooded and may be damaged.,Metering
We are requesting water trucking service for our community.,Operations
"Nag-overpay ako noong nakaraang buwan, saan ang aking credit?",Billing
Nakita ko ang pagtagas ng tubig sa aming lugar.,Operations
Nakakaramdam kami ng kakaibang panlasa sa aming tubig.,Water Quality
Hindi ko maintindihan ang aking water utility charges.,Billing
"Ang tubig namin is brownish, hindi ito maiinom.",Water Quality
Ang tubig namin ay may kakaibang amoy sa umaga.,Water Quality
Bakit walang tubig ngayon sa aming komunidad?,Operations
We experienced diarrhea because of aming drinking water.,Water Quality
Ang drinking water namin ay may bad odor.,Water Quality
Our water meter is inaccessible for regular readings.,Metering
Ang aming lugar ay nawalan ng tubig because of strong typhoon.,Operations
Ang aking water meter ay sira at hindi nagtatala ng consumption.,Metering
Water has not returned since the power interruption yesterday.,Operations
We urgently need emergency water supply for our community.,Operations
"I did not receive my bill for this month, saan ko ito makukuha?",Billing
Bakit so high ang aking meter reading this month?,Metering
Gusto ko ng refund dahil nag-overpay ako.,Billing
Muddy yung water na lumalabas sa aming faucet.,Water Quality
Hindi ko mapigilan ang amoy ng tubig namin sa bathroom.,Water Quality
Hindi ko natatanggap ang aking e-bill sa aking email address.,Billing
Ang water sa aming barangay is murky at maputik.,Water Quality
The water smells like sewage in our neighborhood.,Water Quality
Gusto ko ng installment payment para sa malaking bill ko.,Billing
Kailangan namin ng water trucking service.,Operations
Ang meter ng aming neighbor ay nagsasalubong sa amin.,Metering
Ang kulay ng tubig namin ay dilaw at hindi malinis.,Water Quality
Gusto kong makita ang breakdown ng aking billing.,Billing
Ang aming meter ay nasira ng panahon.,Metering
Ang aking account balance ay hindi tama.,Billing
Our meter reading suddenly jumped without explanation.,Metering
Ang aking bill ay doble kumpara sa nakaraang buwan.,Billing
Water service was cut without any announcement.,Operations
Ang tubig naming pang-inom ay may hindi magandang amoy.,Water Quality
I am filing a complaint about a wrong meter reading.,Metering
Bakit hindi nababasa ang aking water meter?,Metering
Hindi ko naiintindihan ang water utility charges ko.,Billing
Hindi tama ang computation ng aking water charges.,Billing
Our meter was damaged during road construction.,Metering
"Ang meter namin ay nabasag, sino ang responsible?",Metering
Ang tubig namin is not enough para sa aming needs.,Operations
Ang tubig namin ay mababa ang pressure sa ika-anim na palapag.,Operations
Hindi accessible ang aming water meter para sa reading.,Metering
"Ang aking water meter is deteriorating na, need na ng replacement.",Metering
Bakit hindi match ang aking bill sa actual na consumption?,Billing
We need a meter box replacement.,Metering
I want to request a meter accuracy test.,Metering
Ang aming neighborhood ay madalas na may water interruption.,Operations
Ang tubig namin ay bumabalik pero may air pockets sa pipes.,Operations
We need an immediate repair of the broken underground pipe.,Operations
Gusto ko ng detalye ng aking water consumption billing.,Billing
Bakit ang iba't ibang reading kapag binabasa ang aking meter?,Metering
Reddish ang tubig na lumalabas sa aming gripo.,Water Quality
Can I get copies ng aking previous water bills?,Billing
Ang tubig namin ay may matapang na aftertaste.,Water Quality
Ang aming water supply ay may kakaibang pattern ng interruption.,Operations
Kailangan ko ng meter relocation dahil ginagawa naming renovasyon.,Metering
Hindi ligtas ang tubig namin para sa mga sanggol.,Water Quality
We need a water quality test in our area.,Water Quality
May swimming pool smell ang aming tubig sa bahay.,Water Quality
May damaged fire hydrant sa aming kalsada.,Operations
Ang tubig namin ay nagiging maputla ang kulay sa ilang oras.,Water Quality
Ang aming water supply ay may unusual pattern ng interruption.,Operations
I need help sa pagbabasa ng aking water meter.,Metering
Walang tubig sa aming water district ng maraming oras.,Operations
We need immediate repair ng burst pipe.,Operations
Ang aming meter ay may makikitang cracks.,Metering
Ang aking meter ay hindi nababasa ng aming meter reader.,Metering
Hindi tama ang senior citizen discount sa aking bill.,Billing
Ang tubig namin ay may kakaibang ulap na hindi nawawala.,Water Quality
May nakikita akong buhok o particles sa aming tubig.,Water Quality
May scheduled maintenance ba ngayong araw?,Operations
Bakit ang laki ng aking bill kahit minimal lang ang aming water usage?,Billing
I need a water meter replacement as mine is very old.,Metering
I want to request a meter recalibration test.,Metering
My bill does not match my actual water consumption.,Billing
Hindi ko ma-access ang aking online billing statement.,Billing
We need water supply urgently for a medical facility.,Operations
Bakit may unknown charge sa aking billing statement?,Billing
There has been no water supply in our area since yesterday.,Operations
Hindi pa naibabalik ang water supply matapos ang maintenance.,Operations
Ang aking bill ay may maling date ng payment due.,Billing
We suspect may contamination sa aming water supply.,Water Quality
Bakit biglang nagbago ang lasa ng aming tubig?,Water Quality
I received an incorrect billing statement with wrong charges.,Billing
Ang tubig namin ay may persistent cloudiness.,Water Quality
There is air in the pipes after water supply was restored.,Operations
Can I get the detailed breakdown ng aking water bill?,Billing
Bakit hindi tinatanggap ang aking bayad online?,Billing
Nagtataas kami ng reklamo tungkol sa water contamination.,Water Quality
Ang tubig sa aming lugar ay nagba-brownout.,Operations
May error sa account number sa aking bill.,Billing
Bakit nagbago ang reading ng aming meter nang walang abiso?,Metering
Bakit may service charge na hindi naka-explain sa aking bill?,Billing
Ang bill ko this month is unreasonably high.,Billing
May swimming pool smell ang aming tap water.,Water Quality
We experienced wrong meter readings for several months.,Metering
Hindi accessible ang aming water meter para sa regular reading.,Metering
Kailangan ng immediate repair ng naputok na tubo.,Operations
Ang meter ko ay hindi gumagalaw kahit bukas ang water.,Metering
Ang tubig namin ay may kakaibang kulay pagkatapos ng ulan.,Water Quality
Ang aming tanggol na tubig ay mababa na.,Operations
Ang aming water ay cloudy at mukhang contaminated.,Water Quality
Our water has turned dark after recent pipe work.,Water Quality
My billing cycle was changed without prior notification.,Billing
Ang water bill ko ay may wrong meter reading.,Billing
Hindi ko mahanap ang aking water meter sa aming compound.,Metering
"Ang tubig namin ay mabaho, parang may sira na pipeline.",Water Quality
Hindi mo mahanap ang aming water meter.,Metering
Ang tubig sa aming lugar ay may kakaibang texture.,Water Quality
Ang aming meter ay nasira ng construction sa kalsada.,Metering
Hindi na maganda ang tubig namin para sa paglilinis ng bahay.,Water Quality
Ang tubig namin ay nagiging pale ang color after a few hours.,Water Quality
Hindi ko maintindihan ang aking singil sa tubig.,Billing
May water interruption advisory ba para bukas?,Operations
I observed a significant water leak near our home.,Operations
Ang aming water service ay interrupted without notice.,Operations
There is a damaged hydrant that is constantly flowing.,Operations
We experienced illness after drinking the tap water.,Water Quality
May naputok na main water line sa aming lugar.,Operations
Our meter reading has been inconsistent for months.,Metering
Ang reading ng aming meter ay tumaas nang malaki nang walang dahilan.,Metering
May naputok na underground pipe sa aming lugar.,Operations
Bakit may environmental fee na hindi naka-explain sa aking bill?,Billing
May naputok na tubo sa aming kalsada.,Operations
Bakit mababa ang tubig sa aming water tank?,Operations
I received my water bill and hindi tama ang amount.,Billing
I want to dispute the amount on my latest water bill.,Billing
Ang tubig namin ay may mapait na lasa.,Water Quality
Ang tubig namin ay may makikitang worms o insects.,Water Quality
I need to request a refund for an overpayment.,Billing
Ang meter ko ay hindi gumagalaw kahit bukas ang tubig.,Metering
Hindi ko maintindihan ang reading ng aking smart meter.,Metering
"Ang tubig namin ay may green na kulay, may algae ba?",Water Quality
May hydrant sa aming lugar na patuloy na flowing.,Operations
Bakit may penalty charge sa aking account?,Billing
"I didn't receive my official receipt, paano ko makukuha?",Billing
Gusto kong mag-dispute ng aking water bill.,Billing
Ang aming water supply ay patuloy na naaantala.,Operations
Ang reading ng aming meter ay tumaas nang malaki nang walang rason.,Metering
Kailangan ko ng meter inspection para sa aking bagong bahay.,Metering
Bakit tumaas ang bill ko kahit same lang ang aming water consumption?,Billing
Bakit biglang nagbago ang taste ng aming water?,Water Quality
Nakatanggap kami ng reklamo mula sa mga kapitbahay tungkol sa tubig.,Water Quality
Hindi ko mapigilan ang amoy ng tubig namin sa aming banyo.,Water Quality
May damaged hydrant sa aming kalsada.,Operations
Low water pressure is affecting upper floors of our building.,Operations
We need water trucking service sa aming area.,Operations
Hindi namin maintindihan kung bakit black ang aming tubig.,Water Quality
Ang aming lugar ay walang tubig ngayon because of breakdown.,Operations
May duplicate payment na na-charge sa aking account.,Billing
Bakit bigla na lang na-cut ang aming water supply?,Operations
Ang tubig namin ay may rust na nakikita.,Water Quality
May nakikita akong oil o oil sheen sa aming tubig.,Water Quality
I saw a big water leak sa aming kalye.,Operations
We are experiencing strange taste sa aming water supply.,Water Quality
Please send a technician to verify our meter reading.,Metering
"Ang tubig namin ay may brown na kulay, hindi ito maiinom.",Water Quality
Ang tubig namin ay may malakas na chlorine smell.,Water Quality
Ang aming water service ay hindi mapagkakatiwalaan.,Operations
I need copies of my previous water billing statements.,Billing
We need a new water meter installed sa aming bahay.,Metering
A water main has burst on our street.,Operations
We found visible particles and sediment in our water.,Water Quality
"Ang tubig namin ay irregular, minsan meron minsan wala.",Operations
I spotted a water leak sa aming lugar.,Operations
I suspect the meter at our property belongs to a neighbor.,Metering
Ang aking meter ay may kakaibang sound.,Metering
There was no prior notice about the water interruption.,Operations
"Hindi ko ma-access ang aking online billing, may problema ba?",Billing
Bakit ang taas ng aking bill ngayong buwan?,Billing
Our water meter shows signs of tampering.,Metering
We suspect there is rust contamination in our water.,Water Quality
Ang tubig namin ay bumabalik pero may air sa pipes.,Operations
Ang aming lugar ay walang tubig ngayon dahil sa breakdown.,Operations
Hindi kami nakatatanggap ng clean water sa aming lugar.,Water Quality
Ang aming baranggay ay walang tubig buong magdamag.,Operations
"Ang aming tubig ay luma-lubog sa pagtalim, maputik ito.",Water Quality
Hindi ko ma-identify ang billing period sa aking statement.,Billing
I cannot get rid ng mabahong amoy ng tubig namin.,Water Quality
May surcharge na hindi ko naiintindihan sa aking bill.,Billing
May water quality advisory ba para sa aming area?,Water Quality
"Ang meter namin ay nabasag, sino ang mananagot?",Metering
May kakaibang lasa ang tubig na aming inumin.,Water Quality
"My bill this month is almost double, anong nangyari?",Billing
I want to dispute yung billing error sa aking statement.,Billing
Ang tubig sa aming lugar ay nagba-brown out.,Operations
The digital display on our meter is not working.,Metering
Walang tubig sa aming lugar ng halos isang linggo na.,Operations
Hindi clear ang tubig na aming ginagamit.,Water Quality
Hindi sapat ang water pressure para sa aming pangangailangan.,Operations
Nagtataas ako ng reklamo tungkol sa maling meter reading.,Metering
My payment has not been posted to my account yet.,Billing
Ang tubig sa aming lugar ay maulap at hindi transparent.,Water Quality
Ang aking water meter ay napakaluma na at kailangang palitan.,Metering
Saan ko pwede magbayad ng aking water bill?,Billing
Ang bill ko ay may nakitang error sa computation.,Billing
"May mali sa aking bill, hindi tama ang amount.",Billing
May visible sediment sa tubig namin.,Water Quality
Ang aking meter ay hindi nababasa ng meter reader nyo.,Metering
May makikitang sediment sa tubig naming inumin.,Water Quality
Bakit may late payment fee kahit nagbayad ako sa tamang oras?,Billing
Hindi tamang-tama ang reading sa aking bill.,Billing
I would like to set up installment payments for my bill.,Billing
May nakita akong butas na pipe sa aming kalsada.,Operations
I did not receive advance notice about my billing.,Billing
Ang aking bill ay may maling address.,Billing
Hindi namin maintindihan kung bakit maitim ang aming tubig.,Water Quality
There are unknown charges on my billing statement.,Billing
May water interruption advisory ba for tomorrow?,Operations
I want proper servicing para sa aking water meter.,Metering
Hindi sapat ang water pressure for our needs.,Operations
Ang aming meter ay nasira ng mga manggagawa.,Metering
There is an unexplained surcharge on my water bill.,Billing
Ang aming meter ay naka-install sa lugar na hindi ko nakikita.,Metering
Ang tubig namin ay may fishy smell.,Water Quality
Hindi ko makita ang aking meter reading kasi malayo ito.,Metering
I received a bill for an address that is not mine.,Billing
Hindi pa naiayos ang water supply after ng typhoon.,Operations
I want a second opinion sa reading ng aking meter.,Metering
I cannot read my smart meter and need assistance.,Metering
The meter reading on my bill does not match the actual meter.,Metering
Ang tubig namin ay may matapang na amoy ng chlorine.,Water Quality
The water has an unusual taste and color.,Water Quality
Ang meter namin is showing wrong reading.,Metering
Ang aming lugar ay walang tubig because of construction work.,Operations
Nakatanggap ako ng bill para sa address na hindi ko tirahan.,Billing
Hindi ako nakatanggap ng advance billing notice.,Billing
Ang tubig namin ay may strong chemical smell.,Water Quality
Bakit may extra charge sa aking bill this month?,Billing
I need the details of my water consumption billing history.,Billing
Ang aming barangay ay walang water supply whole night.,Operations
Bakit may additional charges sa aking bill na hindi ko expected?,Billing
Bakit hindi mabasa ang aking water meter?,Metering
Ang tubig namin ay may bitter taste.,Water Quality
Bakit may unexplained service charge sa aking bill?,Billing
Ang tubig namin ay may nakikitang worms.,Water Quality
May foam o bula ang lumalabas na tubig sa aming gripo.,Water Quality
Bakit ang taas ng reading ng aking meter?,Metering
May surcharge sa aking bill na hindi ko naiintindihan.,Billing
Ang aming meter ay naka-install sa place na hindi ko nakikita.,Metering
The meter box at our property is broken and needs replacement.,Metering
Ang aking billing cycle ay nagbago nang walang abiso.,Billing
There is a duplicate charge on my statement.,Billing
Ang tubig namin ay hindi sapat para sa aming pangangailangan.,Operations
Our water pressure is extremely low throughout the day.,Operations
Ang aking meter ay may kakaibang tunog.,Metering
Ang aming meter ay nabasag ng mga konstruksiyon sa kalsada.,Metering
Ang aming water supply is constantly being interrupted.,Operations
Hindi pa naibabalik ang water service after maintenance.,Operations
Our community has been without water for over a week.,Operations
Gusto ko ng meter check dahil ang mataas ng aking bill.,Metering
Nagrerelamo kami tungkol sa kalidad ng tubig sa aming komunidad.,Water Quality
Walang tubig sa aming lugar since kahapon pa.,Operations
Ang address sa aking bill ay mali.,Billing
Ang tubig sa aming baranggay ay mahalumigmig at maputik.,Water Quality
Kailangan ng bagong water meter sa aming bahay.,Metering
Ang aming meter ay nasira ng mga workers.,Metering
I need a meter relocation due to home renovations.,Metering
Ang meter namin ay nasira ng mga laro ng bata sa kalsada.,Metering
I would like a meter recalibration to verify accuracy.,Metering
Ang aking bill ay mas mataas ng halos doble ngayong buwan.,Billing
The senior citizen discount was not applied to my bill.,Billing
Ang aking water meter is very old na at kailangan ng replacement.,Metering
Nakaranas kami ng maling meter reading ng ilang buwan.,Metering
Hindi tama ang reading ng aking water meter.,Metering
Ang aming meter ay may visible na cracks.,Metering
"I overpaid last month, where is my credit adjustment?",Billing
I was charged a late fee despite paying on time.,Billing
Ang aming water connection ay nasira ng construction work.,Operations
I need meter relocation kasi nagre-renovate kami.,Metering
My water bill is too high this month,Billing
Hindi tama ang bill ko may dagdag na charges,Billing
I was charged twice for the same month,Billing
Ang laki ng bill ko pero konti lang tubig,Billing
There is an error in my billing statement,Billing
I never received my bill this month,Billing
Bakit ganito kalaki ang bill namin,Billing
My payment was not reflected in the system,Billing
I was disconnected even after paying my bill,Billing
The billing amount does not match my usage,Billing
The water coming out is brown and dirty,Water Quality
May amoy ang tubig namin hindi malinis,Water Quality
Our water smells like chemicals,Water Quality
May kulay ang tubig parang may kalawang,Water Quality
The water tastes strange and metallic,Water Quality
Hindi malinis ang tubig may lumulutang,Water Quality
There are worms in our water supply,Water Quality
Our water is contaminated and unsafe to drink,Water Quality
Ang tubig namin mabaho at may kulay,Water Quality
The water from the faucet is cloudy and dirty,Water Quality
My water meter is not working properly,Metering
Hindi gumagalaw ang metro namin,Metering
The meter reading is wrong and too high,Metering
Broken meter needs replacement urgently,Metering
Ang metro namin sira hindi accurate,Metering
My meter was not read this month,Metering
The meter spins even when no water is used,Metering
Hindi tama ang reading ng aming metro,Metering
We need a meter replacement immediately,Metering
The digital meter display is not showing,Metering
Walang tubig sa aming lugar since yesterday,Operations
No water supply for 3 days already,Operations
May tumagas na tubo sa aming kalye,Operations
There is a burst pipe near our house,Operations
Flooding caused by broken water main,Operations
Wala kaming tubig emergency na ito,Operations
The water pressure is very low,Operations
Naputol ang tubig namin walang abiso,Operations
There is a water leak in the street,Operations
Low water pressure since this morning,Operations
Walang tubig sa amin since kahapon,Billing
Hindi ko maintindihan ang aking bill. Ang reading sa aming water meter,Billing
